Season,PlayerName,MatchesPlayed,Successful raids
All Seasons,Ashish Chhokar,12,13
All Seasons,Parmod Narwal,35,13
All Seasons,Banty,11,13
All Seasons,Sushil Gulia,7,12
All Seasons,Suresh Kumar,11,12
All Seasons,D. Pradap,29,11
All Seasons,M. Thivakaran,9,11
All Seasons,Sachin Vittala,26,11
All Seasons,Shyam Kumar Sah,27,11
All Seasons,Nilesh Shinde,69,11
All Seasons,Kalimuthu Balamahendran,23,10
All Seasons,Tae Deok Eom,35,10
All Seasons,Waleed Al Hasani,6,10
All Seasons,Isac Antony,9,10
All Seasons,Amit Kumar,17,10
All Seasons,Anand,8,10
All Seasons,Amit Kumar,6,9
All Seasons,Sanjay Kumar,8,9
All Seasons,Mohammad Maghshoudulu,18,9
All Seasons,Anil Shriram Nimbolkar,6,9
All Seasons,Preetam Chhillar,58,9
All Seasons,Ravinder Pahal,109,8
All Seasons,Hadi Oshtorak,69,8
All Seasons,Simon Kibura,9,8
All Seasons,Sushant Sail,9,8
All Seasons,Victor Onyango Obiero,6,8
All Seasons,Shubham Ashok Palkar,12,8
All Seasons,PO Surjeet Singh,92,7
All Seasons,Virender Wazir Singh,7,7
All Seasons,Elangeshwaran R,5,7
All Seasons,Anand Surendra Tomar,5,7
All Seasons,C Manoj Kumar,12,7
All Seasons,Kamal Singh,11,7
All Seasons,Sachin Narwal,12,7
All Seasons,Balbir Singh,10,7
All Seasons,Jasmer Singh Gulia,52,7
All Seasons,Sandeep Kandola,16,7
All Seasons,Deepak Kumar Rathee,20,7
All Seasons,Kedar Lal,10,7
All Seasons,Bhanu Pratap Tomar,6,6
All Seasons,Anil Kashinath Patil,5,6
All Seasons,Mayur Shivtarkar,30,6
All Seasons,Parvesh,6,5
All Seasons,Mahesh Maruti Magdum,4,5
All Seasons,Emad Sedaghatnia,2,5
All Seasons,Ankit Beniwal,7,5
All Seasons,Harmanjit Singh,4,5
All Seasons,Ravi V.,2,5
All Seasons,Sachin Khambe,22,5
All Seasons,Rupesh Tomar,15,4
All Seasons,Dadaso Balaso Awad,12,4
All Seasons,Vijay Malik,7,4
All Seasons,Amit Hooda,86,4
All Seasons,D. Gopu,34,4
All Seasons,Mohit Sehrawat,13,4
All Seasons,Ankush,3,4
All Seasons,Rahul Choudhary,5,4
All Seasons,Sunil Siddhgavali,42,4
All Seasons,Mohan Raman G,4,4
All Seasons,Sandeep,6,4
All Seasons,Vikash Kumar,6,4
All Seasons,Jawahar Dagar,46,4
All Seasons,Sunil Kumar,68,3
All Seasons,Rohit,2,3
All Seasons,Sidharth,21,3
All Seasons,Bhuvneshwar Gaur,6,3
All Seasons,Anand V,3,3
All Seasons,Ashish,7,3
All Seasons,Amit Kumar,3,3
All Seasons,Purna Singh,6,3
All Seasons,Girish Maruti Ernak,104,3
All Seasons,Amit Kumar,11,3
All Seasons,Joginder Singh Narwal,80,3
All Seasons,Amit Kumar Tomar,9,3
All Seasons,Gnanasekaran M,8,3
All Seasons,Hadi Tajik,28,3
All Seasons,Dovlet Boshimov,2,3
All Seasons,Ehsan Zamani Fard,8,3
All Seasons,Wajid Ali,4,3
All Seasons,Mohit Chhillar,109,3
All Seasons,Ram Kumar Sah,11,3
All Seasons,Punit Kumar Teotia,4,2
All Seasons,Md. Aruduzzaman Munshi,6,2
All Seasons,Sinotharan Kanesharajah,3,2
All Seasons,Seong Ryeol Kim,15,2
All Seasons,Mandeep Kumar,7,2
All Seasons,Anil Kumar,54,2
All Seasons,David Shilisia J Mosambayi,7,2
All Seasons,Fazel Atrachali,98,2
All Seasons,Sandeep Tomar,3,2
All Seasons,Vinoth Paulyas,4,2
All Seasons,C. Arun,87,2
All Seasons,Sunil,63,2
All Seasons,Samarjeet Singh,22,2
All Seasons,Aman Kadian,4,2
All Seasons,Palle Mallikarjun,3,2
All Seasons,Yashwant Bishnoi,3,2
All Seasons,Mithin Kumar,3,2
All Seasons,Lalit Chaudhary,7,2
All Seasons,Md. Masud Karim,3,2
All Seasons,Arun Kumar HN,4,2
All Seasons,Gaurav Kumar,3,2
All Seasons,Dharmender,4,2
All Seasons,Vimal Raj V,5,2
All Seasons,Sanoj Kumar,2,2
All Seasons,Rinku Narwal,48,2
All Seasons,Vishal,25,2
All Seasons,Lokesh Kaushik,7,2
All Seasons,Prateek,6,1
All Seasons,Anil Kumar,19,1
All Seasons,Yong Joo Ok,1,1
All Seasons,Sagar B Krishna,60,1
All Seasons,Vishal Bhardwaj,59,1
All Seasons,Parvesh Attri,1,1
All Seasons,Nirbhay Narwal,2,1
All Seasons,Parveen Narwal,1,1
All Seasons,Nitin Kumar,1,1
All Seasons,Vikrant,3,1
All Seasons,Vijay Kumar,21,1
All Seasons,Mahender Singh,62,1
All Seasons,Gulveer Singh,4,1
All Seasons,Bhavani Rajput,4,1
All Seasons,Surinder Singh,63,1
All Seasons,Vishav Chaudhary,2,1
All Seasons,Rohit Kumar,7,1
All Seasons,Anuj Kumar,7,1
All Seasons,Ajay,16,1
All Seasons,Sumit,18,1
All Seasons,Parveen,25,1
All Seasons,Adarsh T,19,1
All Seasons,Amit,32,1
All Seasons,Ajinkya Rohidas Kapre,2,1
All Seasons,Balram,2,1
All Seasons,Saurabh Nandal,18,1
All Seasons,Himanshu,3,1
All Seasons,Shubham Shinde,23,1
All Seasons,Hemant Chauhan,3,1
All Seasons,Chand Singh,9,1
All Seasons,Vikas Chhillar,1,1
All Seasons,Gurchet Singh,4,1
All Seasons,Rakesh Singh Kumar,49,1
All Seasons,Kazuhiro Takano,2,1
All Seasons,Parveen M. Jangra,6,1
All Seasons,Inderpal Bishnoi,2,1
All Seasons,Ravit Kumar,3,1
All Seasons,Hyunil Park,2,1
All Seasons,Krushna Madane,16,1
All Seasons,Jay Bahadur Bohara,1,1
All Seasons,Jeeva Kumar,112,1
All Seasons,Gurpreet Singh,18,1
All Seasons,Amit Singh Chhillar,35,1
All Seasons,Takamitsu Kono,1,1
All Seasons,Dong Ju Hong,9,1
All Seasons,Prashant Chavan,41,1
All Seasons,Somvir Shekhar,61,1
All Seasons,Sunil Hanumanthappa,5,1
All Seasons,Santhosh B.S,9,1
All Seasons,Rohit Rana,82,1
Season 7,Naveen Kumar,20,213
Season 7,Pardeep Narwal,19,190
Season 7,Pawan Kumar Sehrawat,19,187
Season 7,Maninder Singh,20,171
Season 7,Siddharth Sirish Desai,18,143
Season 7,Vikash Kandola,16,119
Season 7,Deepak Niwas Hooda,20,113
Season 7,Abhishek Singh,17,103
Season 7,Rahul Chaudhari,20,97
Season 7,Rohit Gulia,20,95
Season 7,V. Ajith Kumar,17,89
Season 7,Manjeet,20,86
Season 7,Pankaj Mohite,16,84
Season 7,Shrikant Jadhav,18,83
Season 7,Chandran Ranjit,19,81
Season 7,K. Prapanjan,18,71
Season 7,Rohit Kumar,17,69
Season 7,Vinay,19,66
Season 7,Sachin Tanwar,16,65
Season 7,Mohammad Esmaeil Nabibakhsh,20,60
Season 7,Arjun Deshwal,16,57
Season 7,Nitin Tomar,13,49
Season 7,Ajay Thakur,13,47
Season 7,Prashanth Kumar Rai,13,45
Season 7,Deepak Narwal,17,44
Season 7,Naveen,14,43
Season 7,Sonu Jaglan,15,42
Season 7,Surender Gill,15,41
Season 7,Nilesh Salunke,17,40
Season 7,Monu Goyat,10,38
Season 7,Jang Kun Lee,13,37
Season 7,Athul MS,15,36
Season 7,More GB,17,35
Season 7,Rishank Devadiga,14,35
Season 7,Suraj Desai,12,35
Season 7,Rohit Baliyan,16,31
Season 7,Rajnish,10,31
Season 7,Vijay,19,31
Season 7,Sumit Singh,15,27
Season 7,Sukesh Hegde,13,27
Season 7,Mohammad Esmaeil Maghsoudlou Mahalli,17,25
Season 7,Nitin Rawal,15,23
Season 7,Meraj Sheykh,13,22
Season 7,Rakesh Gowda,9,20
Season 7,Farhad Rahimi Milaghardan,18,20
Season 7,Pawan Kumar Kadian,6,19
Season 7,Shabeer Bappu,14,17
Season 7,Ajinkya Ashok Pawar,14,16
Season 7,Sandeep Narwal,19,14
Season 7,Banty,11,13
Season 7,Sushil Gulia,7,12
Season 7,Amit Kumar,13,12
Season 7,Monu,19,9
Season 7,Amit Kumar,6,9
Season 7,Sushant Sail,9,8
Season 7,Dong Geon Lee,5,8
Season 7,Selvamani K,7,7
Season 7,Vikas Jaglan,19,7
Season 7,Sachin Narwal,12,7
Season 7,Vinod Kumar,9,6
Season 7,Armaan,6,6
Season 7,Ran Singh,19,5
Season 7,Surender Singh,4,5
Season 7,Emad Sedaghatnia,2,5
Season 7,Ankit Beniwal,6,5
Season 7,Harmanjit Singh,4,5
Season 7,Mohit Sehrawat,13,4
Season 7,Ankush,3,4
Season 7,Hadi Oshtorak,19,4
Season 7,Darshan Kadian,7,4
Season 7,Victor Onyango Obiero,3,4
Season 7,Mohsen Maghsoudloujafari,11,4
Season 7,Azad Singh,4,3
Season 7,Vineet Sharma,11,3
Season 7,Abolfazl Maghsodloumahali,6,3
Season 7,Rakesh Narwal,2,3
Season 7,Gurvinder Singh,2,3
Season 7,Anand,5,3
Season 7,Purna Singh,6,3
Season 7,Ashish,7,3
Season 7,Amit Kumar,3,3
Season 7,Palle Mallikarjun,3,2
Season 7,Aman Kadian,3,2
Season 7,Amit Kumar,9,2
Season 7,Yashwant Bishnoi,3,2
Season 7,Amit,18,1
Season 7,Arun Kumar HN,2,1
Season 7,Lalit Chaudhary,4,1
Season 7,Ajinkya Rohidas Kapre,2,1
Season 7,Sunil Kumar,18,1
Season 7,Ravindra Ramesh Kumawat,3,1
Season 7,Surinder Singh,19,1
Season 7,Fazel Atrachali,19,1
Season 7,Hadi Tajik,12,1
Season 7,PO Surjeet Singh,19,1
Season 7,Dharmaraj Cheralathan,17,1
Season 7,C. Arun,18,1
Season 7,Sumit,18,1
Season 7,Ajay,9,1
Season 7,Shubham Shinde,13,1
Season 7,Hemant Chauhan,3,1
Season 7,Himanshu,3,1
Season 7,Chand Singh,9,1
Season 7,Vikas Chhillar,1,1
Season 7,Balram,2,1
Season 7,Saurabh Nandal,18,1
Season 6,Pawan Kumar Sehrawat,24,209
Season 6,Pardeep Narwal,21,185
Season 6,Ajay Thakur,22,177
Season 6,Siddharth Sirish Desai,21,169
Season 6,Deepak Niwas Hooda,22,162
Season 6,Sachin Tanwar,23,159
Season 6,Maninder Singh,22,158
Season 6,Naveen Kumar,22,144
Season 6,Rahul Chaudhari,21,136
Season 6,Vikash Kandola,22,136
Season 6,Rohit Kumar,24,129
Season 6,Monu Goyat,20,128
Season 6,Chandran Ranjit,24,127
Season 6,Prashanth Kumar Rai,21,112
Season 6,Shrikant Jadhav,25,108
Season 6,K. Prapanjan,22,95
Season 6,Nitin Tomar,11,84
Season 6,Rohit Baliyan,19,82
Season 6,Rishank Devadiga,23,82
Season 6,Manjeet,22,76
Season 6,Naveen,21,71
Season 6,Meraj Sheykh,19,71
Season 6,Jang Kun Lee,18,61
Season 6,More GB,22,60
Season 6,Nilesh Salunke,19,59
Season 6,Ajinkya Ashok Pawar,17,57
Season 6,Deepak Narwal,17,55
Season 6,Kashiling Adake,20,51
Season 6,Sukesh Hegde,17,51
Season 6,Vijay,21,50
Season 6,Rohit Gulia,19,48
Season 6,Athul MS,19,46
Season 6,Darshan Kadian,14,38
Season 6,Monu,14,38
Season 6,Abhishek Singh,15,38
Season 6,Pawan Kumar Kadian,13,32
Season 6,Jasvir Singh,16,32
Season 6,Anup Kumar,13,30
Season 6,Ravindra Ramesh Kumawat,12,29
Season 6,Selvamani K,15,27
Season 6,Mahesh Goud,10,26
Season 6,Deepak Kumar Dahiya,11,26
Season 6,Akshay Jadhav,18,25
Season 6,Mohsen Maghsoudloujafari,19,25
Season 6,Ajay Kumar,13,23
Season 6,Ran Singh,22,23
Season 6,Dong Geon Lee,11,22
Season 6,Sachin Kumar,25,21
Season 6,Abolfazl Maghsodloumahali,10,19
Season 6,Nitin Rawal,9,19
Season 6,Mahendra Ganesh Rajput,13,18
Season 6,Farhad Rahimi Milaghardan,22,17
Season 6,Sandeep Narwal,18,16
Season 6,Vinod Kumar,17,15
Season 6,Azad Singh,9,14
Season 6,Harish Naik,7,14
Season 6,Amit Nagar,9,13
Season 6,Tushar Patil,9,13
Season 6,Vikas Jaglan,14,13
Season 6,Rajesh Mondal,11,13
Season 6,Rakshith,11,12
Season 6,Amit Kumar,17,10
Season 6,CPO Surjeet Singh,9,10
Season 6,Anand Patil,7,9
Season 6,Armaan,4,9
Season 6,Rajnish,4,8
Season 6,Kamal Singh,8,7
Season 6,C Manoj Kumar,12,7
Season 6,Anand,3,7
Season 6,Anand Surendra Tomar,5,7
Season 6,Ajit Singh,6,7
Season 6,Sumit Singh,8,7
Season 6,Shabeer Bappu,6,6
Season 6,Bhupender Singh,4,6
Season 6,Bhanu Pratap Tomar,6,6
Season 6,Mahesh Maruti Magdum,4,5
Season 6,Parvesh,6,5
Season 6,D. Pradap,13,5
Season 6,Manjeet Chhillar,19,5
Season 6,Rajesh Narwal,16,5
Season 6,Rakesh Narwal,6,5
Season 6,Hadi Oshtorak,13,4
Season 6,Sandeep,5,4
Season 6,Sunil Siddhgavali,16,4
Season 6,Victor Onyango Obiero,3,4
Season 6,Amit Kumar,6,4
Season 6,Anand V,3,3
Season 6,Arjun Deshwal,3,3
Season 6,Bhuvneshwar Gaur,6,3
Season 6,Ashish Kumar,24,3
Season 6,Rohit Kumar Choudary,6,2
Season 6,Wazir Singh,2,2
Season 6,Shrikant Tewthia,8,2
Season 6,PO Surjeet Singh,23,2
Season 6,Sachin Vittala,22,2
Season 6,Lokesh Kaushik,6,2
Season 6,Shubham Ashok Palkar,4,2
Season 6,Vimal Raj V,5,2
Season 6,Gaurav Kumar,3,2
Season 6,Dharmender,4,2
Season 6,Mithin Kumar,3,2
Season 6,Md. Masud Karim,3,2
Season 6,Lalit Chaudhary,3,1
Season 6,Rinku Narwal,15,1
Season 6,Vishal,6,1
Season 6,Vishav Chaudhary,2,1
Season 6,Vijay Kumar,4,1
Season 6,Anuj Kumar,7,1
Season 6,Arun Kumar HN,2,1
Season 6,Parveen,19,1
Season 6,Adarsh T,10,1
Season 6,Prateek,6,1
Season 6,Mayur Shivtarkar,18,1
Season 6,Jawahar Dagar,15,1
Season 6,Yogesh Hooda,6,1
Season 6,David Shilisia J Mosambayi,4,1
Season 6,Krushna Madane,6,1
Season 6,Gangadhari Mallesh,6,1
Season 6,Amit Kumar,2,1
Season 5,Pardeep Narwal,26,271
Season 5,Rohit Kumar,22,192
Season 5,Ajay Thakur,22,182
Season 5,Rahul Chaudhari,22,159
Season 5,Monu Goyat,26,159
Season 5,Maninder Singh,21,154
Season 5,Nitin Tomar,20,135
Season 5,Sachin,24,132
Season 5,Deepak Niwas Hooda,24,127
Season 5,Rishank Devadiga,21,126
Season 5,K. Prapanjan,22,104
Season 5,Pawan Kumar Kadian,21,95
Season 5,Wazir Singh,21,86
Season 5,Anup Kumar,21,84
Season 5,Kashiling Adake,20,81
Season 5,Jang Kun Lee,21,80
Season 5,Nilesh Salunke,21,78
Season 5,Abolfazl Maghsodloumahali,19,77
Season 5,Meraj Sheykh,20,76
Season 5,Rajesh Mondal,24,75
Season 5,Deepak Narwal,16,71
Season 5,Shrikant Jadhav,19,70
Season 5,Ajay Kumar,22,70
Season 5,Prashanth Kumar Rai,16,62
Season 5,Deepak Kumar Dahiya,16,61
Season 5,Sukesh Hegde,18,58
Season 5,Rohit Baliyan,17,55
Season 5,Tushar Patil,17,49
Season 5,Jasvir Singh,15,49
Season 5,Nitin Rawal,21,49
Season 5,CPO Surjeet Singh,17,47
Season 5,Surender Singh,18,47
Season 5,Vikash Khandola,9,44
Season 5,Mahendra Ganesh Rajput,17,43
Season 5,Chandran Ranjit,11,43
Season 5,Rohit Gulia,19,33
Season 5,Mahesh Goud,21,30
Season 5,Shabeer Bappu,12,30
Season 5,Sandeep Narwal,21,29
Season 5,R. Sriram,11,29
Season 5,Vinod Kumar,19,27
Season 5,Mohsen Maghsoudloujafari,16,26
Season 5,Vikas Kumar,14,26
Season 5,Anand Patil,19,24
Season 5,Dong Geon Lee,17,24
Season 5,Darshan Kadian,16,24
Season 5,Harish Naik,14,20
Season 5,Vinod Kumar,21,20
Season 5,Vijay,19,18
Season 5,Ajit Singh,11,17
Season 5,Ashish Kumar,20,16
Season 5,Bhupender Singh,17,16
Season 5,Rakesh Narwal,6,15
Season 5,Vineet Sharma,18,15
Season 5,Monu,19,15
Season 5,More GB,6,13
Season 5,Sunil Jaipal,13,13
Season 5,Suresh Kumar,11,12
Season 5,Rakshith,6,11
Season 5,M. Thivakaran,9,11
Season 5,Nitin Madane,12,11
Season 5,Gurvinder Singh,9,10
Season 5,Rohit Kumar Choudary,11,10
Season 5,Ran Singh,23,10
Season 5,Akshay Jadhav,10,9
Season 5,Vikas Jaglan,13,8
Season 5,Rajesh Narwal,16,7
Season 5,Rakesh Kumar,10,7
Season 5,Kuldeep Singh,20,7
Season 5,Elangeshwaran R,5,7
Season 5,D. Pradap,16,6
Season 5,Shubham Ashok Palkar,8,6
Season 5,Ashish Chhokar,5,6
Season 5,Vinoth Kumar,4,5
Season 5,Pawan Kumar Sehrawat,9,5
Season 5,Mayur Shivtarkar,5,5
Season 5,Farhad Rahimi Milaghardan,18,5
Season 5,Mohan Raman G,4,4
Season 5,Rahul Choudhary,5,4
Season 5,Manjeet Chhillar,15,4
Season 5,Ravi Dalal,5,3
Season 5,Virender Wazir Singh,3,3
Season 5,PO Surjeet Singh,24,3
Season 5,Selvamani K,3,3
Season 5,Deepak Kumar Rathee,6,3
Season 5,Rohit,2,3
Season 5,Jawahar Dagar,18,3
Season 5,Sidharth,21,3
Season 5,Sanoj Kumar,2,2
Season 5,Ravindra Ramesh Kumawat,2,2
Season 5,Hadi Tajik,9,2
Season 5,Suresu Kumar,3,2
Season 5,Nilesh Shinde,15,2
Season 5,Shrikant Tewthia,23,2
Season 5,Surender Nada,21,2
Season 5,Ravinder Pahal,19,1
Season 5,Santhosh B.S,9,1
Season 5,Mohit Chhillar,20,1
Season 5,Girish Maruti Ernak,21,1
Season 5,Preetam Chhillar,16,1
Season 5,David Shilisia J Mosambayi,2,1
Season 5,Umesh Mhatre,5,1
Season 5,Sagar B Krishna,17,1
Season 5,Sunil Kumar,24,1
Season 5,Yong Joo Ok,1,1
Season 5,Gulveer Singh,4,1
Season 5,Vishal,5,1
Season 5,Bhavani Rajput,4,1
Season 5,Rohit Kumar,7,1
Season 5,Mahender Singh,22,1
Season 5,Rinku Narwal,13,1
Season 5,Vikrant,3,1
Season 4,Rahul Chaudhari,16,110
Season 4,Deepak Niwas Hooda,16,108
Season 4,Pardeep Narwal,16,100
Season 4,Rohit Kumar,14,75
Season 4,Jasvir Singh,14,64
Season 4,Anup Kumar,14,60
Season 4,Kashiling Adake,13,58
Season 4,Rishank Devadiga,14,57
Season 4,Rajesh Narwal,16,52
Season 4,Monu Goyat,13,52
Season 4,Jang Kun Lee,11,49
Season 4,Rajesh Mondal,15,47
Season 4,Nilesh Salunke,15,47
Season 4,Ajay Kumar,15,44
Season 4,Nitin Madane,13,43
Season 4,Meraj Sheykh,14,42
Season 4,Ajay Thakur,16,41
Season 4,Rakesh Kumar,14,40
Season 4,Selvamani K,13,34
Season 4,Nitin Tomar,12,30
Season 4,CPO Surjeet Singh,10,27
Season 4,Sonu Narwal,11,25
Season 4,Sandeep Narwal,16,20
Season 4,Manjeet Chhillar,12,20
Season 4,Shabeer Bappu,12,18
Season 4,Abolfazl Maghsodloumahali,9,18
Season 4,Vinod Kumar,9,16
Season 4,Suresu Kumar,11,15
Season 4,Pawan Kumar Kadian,9,15
Season 4,Prashanth Kumar Rai,9,12
Season 4,Yogesh Hooda,5,12
Season 4,Tushar Patil,8,11
Season 4,Ashish Kumar,14,11
Season 4,K. Prapanjan,11,10
Season 4,Deepak Narwal,6,8
Season 4,Pawan Kumar Sehrawat,10,8
Season 4,Deepak Kumar Dahiya,7,8
Season 4,Mahipal Narwal,14,8
Season 4,Ravi Dalal,6,8
Season 4,Kuldeep Singh,15,7
Season 4,Vinoth Kumar,3,7
Season 4,Surender Singh,11,7
Season 4,Athul MS,4,6
Season 4,Surjeet Narwal,5,6
Season 4,Shrikant Jadhav,5,6
Season 4,Sukesh Hegde,9,5
Season 4,Sumit Singh,5,5
Season 4,Vikash Kumar,6,4
Season 4,Umesh Mhatre,2,4
Season 4,Ran Singh,16,4
Season 4,Mahesh Goud,7,4
Season 4,Gurvinder Singh,6,4
Season 4,Joginder Singh Narwal,16,3
Season 4,Surender Nada,13,3
Season 4,Parmod Narwal,8,3
Season 4,Amit Om Prakash Rathi,2,3
Season 4,Vikash Khandola,4,3
Season 4,Ravindra Ramesh Kumawat,2,2
Season 4,Dharmaraj Cheralathan,14,2
Season 4,Mohit Chhillar,14,1
Season 4,Nilesh Shinde,12,1
Season 4,Amit Nagar,3,1
Season 4,Parveen Narwal,1,1
Season 4,Anil Kumar,9,1
Season 4,Nitin Kumar,1,1
Season 4,Sunil Kumar,1,1
Season 4,Vishal Bhardwaj,2,1
Season 3,Rishank Devadiga,16,86
Season 3,Pardeep Narwal,16,83
Season 3,Rohit Kumar,12,80
Season 3,Rahul Chaudhari,13,77
Season 3,Nitin Tomar,10,68
Season 3,Jang Kun Lee,15,64
Season 3,Anup Kumar,13,63
Season 3,Deepak Niwas Hooda,12,62
Season 3,Kashiling Adake,11,55
Season 3,CPO Surjeet Singh,12,54
Season 3,Sukesh Hegde,13,49
Season 3,Sonu Narwal,11,49
Season 3,Rajesh Narwal,14,47
Season 3,Rohit Baliyan,11,44
Season 3,Ajay Thakur,14,41
Season 3,Manjeet Chhillar,15,37
Season 3,Pawan Kumar Sehrawat,13,36
Season 3,Surender Singh,12,34
Season 3,Mahesh Goud,13,30
Season 3,Rakesh Kumar,15,29
Season 3,Surjeet Narwal,12,29
Season 3,Deepak Kumar Dahiya,10,29
Season 3,Selvamani K,8,29
Season 3,Amit Om Prakash Rathi,8,21
Season 3,Deepak Narwal,9,21
Season 3,Meraj Sheykh,14,20
Season 3,Manpreet Singh,13,20
Season 3,Rajesh Mondal,9,18
Season 3,Mahendra Ganesh Rajput,8,17
Season 3,Shrikant Tewthia,13,16
Season 3,Tushar Patil,13,16
Season 3,Ran Singh,14,15
Season 3,Jasvir Singh,4,15
Season 3,Vinoth Kumar,7,13
Season 3,Rohit Kumar Choudary,7,11
Season 3,Umesh Mhatre,6,11
Season 3,Shabeer Bappu,10,11
Season 3,Shrikant Jadhav,5,9
Season 3,Anil Shriram Nimbolkar,6,9
Season 3,Vineet Sharma,4,8
Season 3,Mohammad Maghshoudulu,10,8
Season 3,Sandeep Narwal,14,8
Season 3,Prashanth Kumar Rai,13,8
Season 3,Bhupender Singh,11,8
Season 3,Anil Kashinath Patil,5,6
Season 3,Nilesh Salunke,7,5
Season 3,Yogesh Hooda,6,5
Season 3,Kuldeep Singh,10,5
Season 3,Ashish Kumar,13,5
Season 3,Deepak Kumar Rathee,14,4
Season 3,Pawan Kumar Kadian,5,4
Season 3,Ravinder Pahal,11,4
Season 3,Sunil Jaipal,2,4
Season 3,Shyam Kumar Sah,7,4
