Season,PlayerName,MatchesPlayed,Super 10s
All Seasons,Suraj Desai,12,1
All Seasons,Pravin Niwale,17,1
All Seasons,Rajesh Mondal,89,1
All Seasons,Gurvinder Singh,45,1
All Seasons,Mahipal Narwal,34,1
Season 7,Naveen Kumar,20,19
Season 7,Pawan Kumar Sehrawat,20,14
Season 7,Pardeep Narwal,20,13
Season 7,Maninder Singh,20,10
Season 7,Vikash Kandola,17,9
Season 7,Deepak Niwas Hooda,20,7
Season 7,Siddharth Sirish Desai,18,7
Season 7,Abhishek Singh,18,7
Season 7,Rohit Gulia,20,4
Season 7,V. Ajith Kumar,17,4
Season 7,Rahul Chaudhari,20,4
Season 7,Shrikant Jadhav,18,3
Season 7,K. Prapanjan,18,3
Season 7,Pankaj Mohite,16,3
Season 7,Rohit Kumar,17,3
Season 7,Vinay,20,2
Season 7,Sachin Tanwar,16,2
Season 7,Manjeet,20,2
Season 7,Arjun Deshwal,16,2
Season 7,Rajnish,10,2
Season 7,Prashanth Kumar Rai,14,2
Season 7,Chandran Ranjit,19,2
Season 7,Ajay Thakur,13,1
Season 7,Pawan Kumar Kadian,6,1
Season 7,Suraj Desai,12,1
Season 7,Meraj Sheykh,13,1
Season 7,Nilesh Salunke,17,1
Season 7,Deepak Narwal,17,1
Season 7,Monu Goyat,10,1
Season 7,Mohammad Esmaeil Nabibakhsh,20,1
Season 7,Nitin Tomar,13,1
Season 7,Naveen,15,1
Season 7,Sonu Jaglan,15,1
Season 7,Vijay,19,1
Season 6,Pardeep Narwal,21,15
Season 6,Pawan Kumar Sehrawat,24,13
Season 6,Siddharth Sirish Desai,21,12
Season 6,Monu Goyat,20,10
Season 6,Deepak Niwas Hooda,22,10
Season 6,Maninder Singh,22,9
Season 6,Naveen Kumar,22,8
Season 6,Sachin Tanwar,23,7
Season 6,Ajay Thakur,22,7
Season 6,Vikash Kandola,22,6
Season 6,Rohit Kumar,24,5
Season 6,Shrikant Jadhav,25,5
Season 6,Prashanth Kumar Rai,21,5
Season 6,Nitin Tomar,11,4
Season 6,K. Prapanjan,22,4
Season 6,Rahul Chaudhari,21,4
Season 6,Chandran Ranjit,24,3
Season 6,Deepak Narwal,17,3
Season 6,Meraj Sheykh,19,2
Season 6,Jang Kun Lee,18,2
Season 6,Manjeet,22,2
Season 6,More GB,22,2
Season 6,Abhishek Singh,15,2
Season 6,Dong Geon Lee,11,1
Season 6,Armaan,4,1
Season 6,Naveen,21,1
Season 6,Rishank Devadiga,23,1
Season 6,Kashiling Adake,20,1
Season 6,Selvamani K,15,1
Season 6,Darshan Kadian,14,1
Season 6,Deepak Kumar Dahiya,11,1
Season 5,Pardeep Narwal,26,19
Season 5,Rohit Kumar,22,12
Season 5,Ajay Thakur,22,12
Season 5,Maninder Singh,21,9
Season 5,Monu Goyat,26,9
Season 5,Rahul Chaudhari,22,8
Season 5,Deepak Niwas Hooda,24,7
Season 5,Sachin,24,7
Season 5,Nitin Tomar,20,7
Season 5,Rishank Devadiga,21,5
Season 5,Deepak Narwal,16,4
Season 5,K. Prapanjan,22,3
Season 5,Nilesh Salunke,21,3
Season 5,Prashanth Kumar Rai,16,3
Season 5,Pawan Kumar Kadian,21,3
Season 5,Kashiling Adake,20,3
Season 5,Wazir Singh,21,3
Season 5,Shrikant Jadhav,19,2
Season 5,Jasvir Singh,15,2
Season 5,Anup Kumar,21,2
Season 5,Surender Singh,18,2
Season 5,Meraj Sheykh,20,2
Season 5,Nitin Rawal,21,2
Season 5,Ajay Kumar,22,2
Season 5,Mohsen Maghsoudloujafari,16,1
Season 5,Rohit Baliyan,17,1
Season 5,Harish Naik,14,1
Season 5,Chandran Ranjit,11,1
Season 5,Shabeer Bappu,12,1
Season 5,Rajesh Mondal,24,1
Season 5,Sukesh Hegde,18,1
Season 5,CPO Surjeet Singh,17,1
Season 5,Deepak Kumar Dahiya,16,1
Season 4,Rahul Chaudhari,16,7
Season 4,Pardeep Narwal,16,5
Season 4,Rishank Devadiga,14,2
Season 4,Ajay Kumar,15,2
Season 4,Jang Kun Lee,11,2
Season 4,Deepak Niwas Hooda,16,2
Season 4,Jasvir Singh,14,2
Season 4,Kashiling Adake,13,2
Season 4,Nitin Madane,13,1
Season 4,Ajay Thakur,16,1
Season 4,Rajesh Narwal,16,1
Season 4,Rakesh Kumar,14,1
Season 4,Prashanth Kumar Rai,9,1
Season 4,Nilesh Salunke,15,1
Season 4,Rohit Kumar,14,1
Season 3,CPO Surjeet Singh,12,5
Season 3,Pardeep Narwal,16,5
Season 3,Rohit Kumar,12,5
Season 3,Rahul Chaudhari,13,4
Season 3,Rishank Devadiga,16,2
Season 3,Jang Kun Lee,15,2
Season 3,Nitin Tomar,10,2
Season 3,Rohit Baliyan,11,2
Season 3,Selvamani K,8,1
Season 3,Anil Shriram Nimbolkar,6,1
Season 3,Deepak Narwal,9,1
Season 3,Ajay Thakur,14,1
Season 3,Deepak Niwas Hooda,12,1
Season 3,Jasvir Singh,4,1
Season 3,Kashiling Adake,11,1
Season 3,Surjeet Narwal,12,1
Season 3,Rajesh Narwal,14,1
Season 2,Rahul Chaudhari,14,5
Season 2,Kashiling Adake,14,3
Season 2,Rajesh Narwal,14,2
Season 2,Ajay Thakur,13,2
Season 2,Mahendra Ganesh Rajput,12,2
Season 2,Wazir Singh,11,2
Season 2,Prashanth Kumar Rai,15,1
Season 2,Pradeep Kumar,6,1
Season 2,Sonu Narwal,11,1
Season 2,Rohit Kumar Choudary,14,1
Season 2,Meraj Sheykh,15,1
Season 2,Anup Kumar,14,1
Season 2,Deepak Niwas Hooda,15,1
Season 2,Gurvinder Singh,16,1
Season 2,Shabeer Bappu,10,1
Season 2,Jang Kun Lee,14,1
Season 1,Anup Kumar,16,10
Season 1,Rahul Chaudhari,14,8
Season 1,Surjeet Narwal,14,6
Season 1,Maninder Singh,16,5
Season 1,Ajay Thakur,15,5
Season 1,Kashiling Adake,14,5
Season 1,Nitin Madane,12,5
Season 1,Wazir Singh,12,4
Season 1,Ravi Dalal,16,3
Season 1,Shabeer Bappu,10,3
Season 1,Deepak Niwas Hooda,14,3
Season 1,Jasvir Singh,15,2
Season 1,Jang Kun Lee,11,2
Season 1,Rakesh Kumar,12,2
Season 1,Manjeet Chhillar,16,2
Season 1,Shrikant Tewthia,14,1
Season 1,Sandeep Narwal,16,1
Season 1,Pawan Kumar Kadian,10,1
Season 1,Pravin Niwale,7,1
Season 1,Mahipal Narwal,5,1
