Season,PlayerName,MatchesPlayed,Super tackles
All Seasons,Parmod Narwal,35,3
All Seasons,Prashanth Kumar Rai,92,3
All Seasons,Rakesh Singh Kumar,49,3
All Seasons,Samarjeet Singh,22,3
All Seasons,Sidharth,21,3
All Seasons,Santhapanaselvam,32,3
All Seasons,Rakesh Gowda,9,3
All Seasons,Monu Goyat,68,3
All Seasons,Sandeep,14,3
All Seasons,Darshan Kadian,38,3
All Seasons,Pawan Kumar Sehrawat,75,3
All Seasons,Akshay Jadhav,29,3
All Seasons,Sumit Singh,32,2
All Seasons,Rahul Kumar,30,2
All Seasons,Nitin Tomar,65,2
All Seasons,Rohit Kumar,89,2
All Seasons,S Mahalingam,11,2
All Seasons,Mohammad Esmaeil Nabibakhsh,19,2
All Seasons,Ziaur Rahman,34,2
All Seasons,Mohammad Esmaeil Maghsoudlou Mahalli,17,2
All Seasons,Nilesh Salunke,79,2
All Seasons,Anil Shriram Nimbolkar,6,2
All Seasons,Rohit Baliyan,67,2
All Seasons,Vineet Sharma,40,2
All Seasons,Umesh Mhatre,13,2
All Seasons,Deepak Kumar,7,2
All Seasons,Amit Kumar,11,2
All Seasons,Amit Om Prakash Rathi,16,2
All Seasons,Mahendra Ganesh Rajput,62,2
All Seasons,Rishank Devadiga,116,2
All Seasons,Sukesh Hegde,96,2
All Seasons,Surjeet Narwal,31,2
All Seasons,Shyam Kumar Sah,27,2
All Seasons,Mahipal Narwal,34,2
All Seasons,Jitesh Joshi,19,2
All Seasons,Jeeva Gopal,24,2
All Seasons,Chandran Ranjit,59,2
All Seasons,Pavan T. R.,15,2
All Seasons,Mohit Sehrawat,13,2
All Seasons,Naveen,34,2
All Seasons,Ashu Singh,17,2
All Seasons,Ankit,12,2
All Seasons,Lalit Chaudhary,7,2
All Seasons,Manjeet,41,2
All Seasons,Elangeshwaran R,5,2
All Seasons,N. Renjith,11,2
All Seasons,D. Pradap,29,2
All Seasons,Vikash,19,2
All Seasons,Sandeep,5,1
All Seasons,Darshan J.,29,1
All Seasons,Vikas Kumar,14,1
All Seasons,Yatharth Deshwal,6,1
All Seasons,Kamal Singh,11,1
All Seasons,Anuj Kumar,7,1
All Seasons,Tushar Balaram Bhoir,10,1
All Seasons,Amit Kharb,9,1
All Seasons,Parvesh,6,1
All Seasons,Victor Onyango Obiero,6,1
All Seasons,Surender Gill,14,1
All Seasons,Amit Kumar,18,1
All Seasons,Naveen Kumar,40,1
All Seasons,Armaan,10,1
All Seasons,Sumit Malik,14,1
All Seasons,Amit Kumar,5,1
All Seasons,Sagar,9,1
All Seasons,Elavarasan A,3,1
All Seasons,Sunil,37,1
All Seasons,Ajeet,14,1
All Seasons,Chand Singh,7,1
All Seasons,Ravinder,5,1
All Seasons,Ankit,13,1
All Seasons,Ajinkya Ashok Pawar,31,1
All Seasons,Amit Kumar,17,1
All Seasons,Ponparthiban Subramanian,17,1
All Seasons,Sonu Jaglan,13,1
All Seasons,Harendra Kumar,16,1
All Seasons,Bhupender Singh,47,1
All Seasons,Farhad Kamal Gharibi,2,1
All Seasons,Seong Ryeol Kim,15,1
All Seasons,Tae Deok Eom,35,1
All Seasons,Gurpreet Singh,18,1
All Seasons,Gurvinder Singh,45,1
All Seasons,Parveen Kumar,8,1
All Seasons,Navneet Gautam,31,1
All Seasons,Rajesh Mondal,89,1
All Seasons,Ram Kumar Sah,11,1
All Seasons,Maninder Singh,78,1
All Seasons,Santhosh B.S,9,1
All Seasons,Vijendar Singh,8,1
All Seasons,Pradeep Kumar,10,1
All Seasons,Deepak Kumar Dahiya,53,1
All Seasons,Vikas Tomar,9,1
All Seasons,Sachin Vittala,26,1
All Seasons,Manoj Dhull,27,1
All Seasons,Vijender Singh,8,1
All Seasons,Deepak Narwal,81,1
All Seasons,Deepak Dhull,10,1
All Seasons,Pardeep Narwal,104,1
All Seasons,Sandeep Malik,1,1
All Seasons,Deepak Kumar Rathee,20,1
All Seasons,Gnanasekaran M,8,1
All Seasons,G.S. Manikandan,20,1
All Seasons,Harvinder Singh,4,1
All Seasons,E Subash,4,1
All Seasons,Deepak Yadav,7,1
All Seasons,N. Shiva Ramakrishna,1,1
All Seasons,Abolfazl Maghsodloumahali,47,1
All Seasons,Hadi Tajik,28,1
All Seasons,Somvir,16,1
All Seasons,Ravinder Kumar,12,1
Season 7,Vishal Bhardwaj,18,9
Season 7,Sandeep Kumar Dhull,20,7
Season 7,Vishal,14,7
Season 7,Mahender Singh,16,7
Season 7,Monu,19,7
Season 7,Hadi Oshtorak,19,6
Season 7,Sunil Kumar,18,6
Season 7,PO Surjeet Singh,19,5
Season 7,Sandeep Narwal,18,5
Season 7,Jadhav Balasaheb Shahaji,17,5
Season 7,Nitesh Kumar,17,5
Season 7,Baldev Singh,19,5
Season 7,Saurabh Nandal,18,5
Season 7,Neeraj Kumar,19,4
Season 7,Nitin Rawal,15,4
Season 7,Joginder Singh Narwal,18,4
Season 7,Ravi Kumar,15,4
Season 7,Sagar B Krishna,11,3
Season 7,Fazel Atrachali,18,3
Season 7,Amit Hooda,14,3
Season 7,Girish Maruti Ernak,14,3
Season 7,C. Arun,18,3
Season 7,Mohit Chhillar,17,3
Season 7,Dharmaraj Cheralathan,15,3
Season 7,Amit Sheoran,19,3
Season 7,Rakesh Gowda,9,3
Season 7,Abozar Mohajermighani,18,3
Season 7,Jaideep,19,3
Season 7,Sunil Siddhgavali,14,3
Season 7,Young Chang Ko,10,2
Season 7,Mohammad Esmaeil Maghsoudlou Mahalli,17,2
Season 7,Surinder Singh,18,2
Season 7,Pavan T. R.,15,2
Season 7,Mohit Sehrawat,13,2
Season 7,Shubham Shinde,13,2
Season 7,Ashu Singh,17,2
Season 7,Rinku Narwal,19,2
Season 7,Amit,17,2
Season 7,Deepak Niwas Hooda,20,2
Season 7,Manjeet Chhillar,15,2
Season 7,Amit Kumar,9,2
Season 7,Ashish Kumar,7,2
Season 7,Parvesh Bhainswal,18,2
Season 7,Mohammad Esmaeil Nabibakhsh,19,2
Season 7,Ankit,12,2
Season 7,Sumit Malik,14,1
Season 7,Amit Kumar,5,1
Season 7,Monu Goyat,9,1
Season 7,Sumit Singh,15,1
Season 7,Rohit Baliyan,15,1
Season 7,Vineet Sharma,10,1
Season 7,Hadi Tajik,12,1
Season 7,Anil Kumar,14,1
Season 7,Pawan Kumar Sehrawat,19,1
Season 7,Sachin Kumar,12,1
Season 7,Vikas Kale,16,1
Season 7,Chandran Ranjit,17,1
Season 7,Jeeva Kumar,18,1
Season 7,Shabeer Bappu,14,1
Season 7,Ran Singh,17,1
Season 7,Victor Onyango Obiero,3,1
Season 7,Surender Gill,14,1
Season 7,Amit Kumar,12,1
Season 7,Lalit Chaudhary,4,1
Season 7,Sunil,15,1
Season 7,Parveen,6,1
Season 7,Ankit,7,1
Season 7,Sagar,9,1
Season 7,Elavarasan A,3,1
Season 7,Sonu Jaglan,13,1
Season 7,Harendra Kumar,16,1
Season 7,Ajeet,14,1
Season 7,Chand Singh,7,1
Season 7,Ravinder,5,1
Season 7,Manjeet,19,1
Season 7,Vijay Kumar,9,1
Season 7,More GB,16,1
Season 7,Santhapanaselvam,8,1
Season 7,Mohsen Maghsoudloujafari,10,1
Season 6,Vishal Bhardwaj,17,9
Season 6,Abozar Mohajermighani,21,8
Season 6,Nitesh Kumar,25,8
Season 6,Sandeep Narwal,18,7
Season 6,Ravi Kumar,22,7
Season 6,Sandeep Kumar Dhull,22,5
Season 6,Manjeet Chhillar,19,5
Season 6,Narender,25,5
Season 6,Parveen,19,5
Season 6,Satpal,12,4
Season 6,Vinod Kumar,17,4
Season 6,Farhad Rahimi Milaghardan,22,4
Season 6,Kuldeep Singh,22,4
Season 6,Young Chang Ko,13,4
Season 6,Sunil Kumar,25,4
Season 6,Anil Kumar,18,4
Season 6,Parvesh Bhainswal,25,4
Season 6,Jeeva Kumar,19,4
Season 6,Joginder Singh Narwal,22,4
Season 6,Girish Maruti Ernak,20,4
Season 6,Amit Hooda,18,4
Season 6,Sachin Kumar,25,4
Season 6,Vikas Kale,22,3
Season 6,Ashish Kumar,24,3
Season 6,Sandeep,10,3
Season 6,Fazel Atrachali,23,3
Season 6,Dharmaraj Cheralathan,22,3
Season 6,Mohit Chhillar,14,3
Season 6,Ravinder Pahal,22,3
Season 6,Sunil Siddhgavali,16,3
Season 6,Baldev Singh,18,3
Season 6,Surender Singh,22,3
Season 6,Jawahar Dagar,15,3
Season 6,Shubham Shinde,10,3
Season 6,Adarsh T,10,3
Season 6,Ruturaj Shivaji Koravi,23,3
Season 6,Amit Sheoran,15,2
Season 6,Monu,14,2
Season 6,More GB,22,2
Season 6,Naveen,21,2
Season 6,Manish,17,2
Season 6,Vishal,6,2
Season 6,Sachin Tanwar,23,2
Season 6,Santhapanaselvam,14,2
Season 6,Mohsen Maghsoudloujafari,19,2
Season 6,Jaideep,22,2
Season 6,Vishal Mane,22,2
Season 6,PO Surjeet Singh,23,2
Season 6,D. Gopu,5,2
Season 6,Kashiling Adake,20,2
Season 6,Kuldeep Singh,7,2
Season 6,Vijin Thangadurai,16,2
Season 6,Sachin Shingade,19,2
Season 6,Deepak Kumar Dahiya,11,1
Season 6,Sachin Vittala,22,1
Season 6,Manoj Dhull,8,1
Season 6,Sunil,11,1
Season 6,Rohit Baliyan,19,1
Season 6,Gangadhari Mallesh,6,1
Season 6,Jang Kun Lee,18,1
Season 6,Bhupender Singh,4,1
Season 6,Chandran Ranjit,24,1
Season 6,Deepak Niwas Hooda,22,1
Season 6,Prashanth Kumar Rai,21,1
Season 6,Ran Singh,22,1
Season 6,Rahul Chaudhari,21,1
Season 6,Rohit Rana,19,1
Season 6,Shrikant Jadhav,25,1
Season 6,Sukesh Hegde,17,1
Season 6,Sagar B Krishna,20,1
Season 6,Ravinder Kumar,8,1
Season 6,Anil Kumar,5,1
Season 6,Akshay Jadhav,18,1
Season 6,N. Shiva Ramakrishna,1,1
Season 6,D. Pradap,13,1
Season 6,Manjeet,22,1
Season 6,Mahender Singh,24,1
Season 6,Parvesh,6,1
Season 6,Nitin Rawal,9,1
Season 6,Amit Kharb,6,1
Season 6,Vijay,21,1
Season 6,Sandeep,5,1
Season 6,Ponparthiban Subramanian,12,1
Season 6,Ajinkya Ashok Pawar,17,1
Season 6,Amit Kumar,17,1
Season 6,Rinku Narwal,15,1
Season 6,Amit,14,1
Season 6,Naveen Kumar,22,1
Season 6,Armaan,4,1
Season 6,Lalit Chaudhary,3,1
Season 6,Kamal Singh,8,1
Season 6,Anuj Kumar,7,1
Season 5,Jeeva Kumar,22,7
Season 5,Surender Nada,21,6
Season 5,Amit Hooda,22,6
Season 5,Kuldeep Singh,20,6
Season 5,Sombir,17,6
Season 5,Jaideep,26,5
Season 5,Manish,23,5
Season 5,C. Arun,20,5
Season 5,Shrikant Tewthia,23,5
Season 5,Mahender Singh,22,5
Season 5,Vinod Kumar,21,5
Season 5,Rinku Narwal,13,4
Season 5,Mohit Chhillar,20,4
Season 5,Anup Kumar,21,4
Season 5,Parvesh Bhainswal,24,4
Season 5,PO Surjeet Singh,24,4
Season 5,Darshan Kadian,16,3
Season 5,Fazel Atrachali,24,3
Season 5,Vishal Bhardwaj,22,3
Season 5,Hadi Oshtorak,16,3
Season 5,Sagar B Krishna,17,3
Season 5,Sidharth,21,3
Season 5,Jawahar Dagar,18,3
Season 5,Mahesh Goud,21,3
Season 5,Ran Singh,23,3
Season 5,Girish Maruti Ernak,21,3
Season 5,Ravinder Pahal,19,3
Season 5,Vishal Mane,26,3
Season 5,Sunil Jaipal,13,3
Season 5,Sandeep Narwal,21,3
Season 5,Vishal,5,3
Season 5,Vijay,19,3
Season 5,Satpal,10,2
Season 5,Vikash,19,2
Season 5,Vijay Kumar,8,2
Season 5,Wazir Singh,21,2
Season 5,D. Suresh Kumar,5,2
Season 5,Ravi Kumar,23,2
Season 5,Jasvir Singh,15,2
Season 5,Jeeva Gopal,6,2
Season 5,Kuldeep Singh,16,2
Season 5,Shrikant Jadhav,19,2
Season 5,Abozar Mohajermighani,24,2
Season 5,Ziaur Rahman,16,2
Season 5,Elangeshwaran R,5,2
Season 5,N. Renjith,11,2
Season 5,Akshay Jadhav,10,2
Season 5,Sunil Kumar,24,2
Season 5,Nilesh Salunke,21,2
Season 5,Abolfazl Maghsodloumahali,19,1
Season 5,Nitin Tomar,20,1
Season 5,Rohit Kumar,22,1
Season 5,Vineet Sharma,18,1
Season 5,Deepak Kumar Rathee,6,1
Season 5,Monu Goyat,26,1
Season 5,D. Pradap,16,1
Season 5,Darshan J.,20,1
Season 5,Nitesh Kumar,19,1
Season 5,E Subash,2,1
Season 5,Deepak Yadav,4,1
Season 5,Kuldeep Singh,5,1
Season 5,Mohsen Maghsoudloujafari,16,1
Season 5,Sunil Siddhgavali,12,1
Season 5,Neeraj Kumar,17,1
Season 5,Somvir Shekhar,22,1
Season 5,Nilesh Shinde,15,1
Season 5,Rajesh Narwal,16,1
Season 5,Rakesh Kumar,10,1
Season 5,Rishank Devadiga,21,1
Season 5,Santhosh B.S,9,1
Season 5,Shabeer Bappu,12,1
Season 5,Deepak Niwas Hooda,24,1
Season 5,Dharmaraj Cheralathan,18,1
Season 5,Manjeet Chhillar,15,1
Season 5,Kashiling Adake,20,1
Season 5,Ashish Kumar,20,1
Season 5,Sunil,18,1
Season 5,Sachin Shingade,26,1
Season 5,Vijin Thangadurai,12,1
Season 5,Rakesh Singh Kumar,19,1
Season 5,Prashanth Kumar Rai,16,1
Season 5,Nitin Rawal,21,1
Season 5,Tushar Balaram Bhoir,8,1
Season 5,Monu,19,1
Season 5,Sachin,24,1
Season 5,Vikas Kumar,14,1
Season 5,Yatharth Deshwal,6,1
Season 4,Dharmaraj Cheralathan,14,8
Season 4,Fazel Atrachali,16,7
Season 4,Ashish Kumar,14,6
Season 4,Sachin Shingade,14,5
Season 4,Shabeer Bappu,12,5
Season 4,Kuldeep Singh,15,5
Season 4,Anil Kumar,9,4
Season 4,Surender Nada,13,4
Season 4,Amit Hooda,16,4
Season 4,PO Surjeet Singh,14,4
Season 4,Hadi Oshtorak,7,3
Season 4,Meraj Sheykh,14,3
Season 4,Vishal Mane,14,3
Season 4,Rakesh Kumar,14,3
Season 4,Kashiling Adake,13,3
Season 4,Mohit Chhillar,14,3
Season 4,Mahipal Narwal,14,2
Season 4,Jasvir Singh,14,2
Season 4,Jeeva Kumar,14,2
Season 4,D. Gopu,5,2
Season 4,Ravinder Pahal,14,2
Season 4,Sandeep Narwal,16,2
Season 4,Girish Maruti Ernak,12,2
Season 4,Bajirao Hodage,14,2
Season 4,Joginder Singh Narwal,16,2
Season 4,S Mahalingam,11,2
Season 4,Monu Goyat,13,1
Season 4,Pardeep Narwal,16,1
Season 4,C. Arun,14,1
Season 4,Sunil,10,1
Season 4,Rohit Kumar,14,1
Season 4,Sumit Singh,5,1
Season 4,Umesh Mhatre,2,1
Season 4,Ran Singh,16,1
Season 4,Anup Kumar,14,1
Season 4,Shrikant Tewthia,4,1
Season 4,Somvir Shekhar,16,1
Season 4,Manjeet Chhillar,12,1
Season 4,Nitin Madane,13,1
Season 4,Rahul Chaudhari,16,1
Season 4,Rajesh Narwal,16,1
Season 3,Sandeep Kumar Dhull,10,6
Season 3,C. Arun,11,5
Season 3,Jasmer Singh Gulia,16,5
Season 3,Manjeet Chhillar,15,5
Season 3,Manoj Kumar,11,4
Season 3,Nilesh Shinde,16,4
Season 3,Ravinder Pahal,11,4
Season 3,Meraj Sheykh,14,3
Season 3,Kuldeep Singh,10,3
Season 3,Dharmaraj Cheralathan,14,3
Season 3,Rohit Rana,12,3
Season 3,Rajesh Narwal,14,3
Season 3,Rakesh Kumar,15,2
Season 3,Jang Kun Lee,15,2
Season 3,Sandeep Narwal,14,2
Season 3,Rahul Chaudhari,13,2
Season 3,Mohit Chhillar,13,2
Season 3,Amit Om Prakash Rathi,8,2
Season 3,Anil Shriram Nimbolkar,6,2
Season 3,D. Suresh Kumar,12,2
Season 3,Mahendra Ganesh Rajput,8,2
Season 3,Pawan Kumar Sehrawat,13,2
Season 3,Rahul Kumar,11,2
Season 3,Nitin Tomar,10,1
Season 3,PO Surjeet Singh,12,1
Season 3,Bajirao Hodage,16,1
Season 3,Sachin Shingade,2,1
Season 3,Deepak Kumar,3,1
Season 3,Samarjeet Singh,5,1
Season 3,Sunil,15,1
Season 3,Deepak Narwal,9,1
Season 3,Gnanasekaran M,8,1
Season 3,Somvir,14,1
Season 3,Ravi Kumar,12,1
Season 3,Hadi Oshtorak,10,1
Season 3,Umesh Mhatre,6,1
Season 3,Gangadhari Mallesh,10,1
Season 3,Jeeva Kumar,16,1
Season 3,Rishank Devadiga,16,1
Season 3,Shrikant Tewthia,13,1
Season 3,Shyam Kumar Sah,7,1
Season 3,Sukesh Hegde,13,1
Season 2,Jeeva Kumar,13,7
Season 2,Ravinder Pahal,14,7
Season 2,Nilesh Shinde,12,6
Season 2,Manoj Kumar,14,4
Season 2,Sachin Khambe,8,4
Season 2,Deepak Niwas Hooda,15,4
Season 2,Ran Singh,14,4
Season 2,D. Suresh Kumar,16,4
Season 2,Ravi Kumar,13,4
Season 2,Sandeep Kandola,16,4
Season 2,Kuldeep Singh,14,4
Season 2,Vikas Kale,8,3
Season 2,Sunil,9,3
Season 2,Sandeep Narwal,16,3
Season 2,Mohit Chhillar,14,3
Season 2,Rajaguru Subramanian,12,2
Season 2,Rajesh Narwal,14,2
Season 2,Rupesh Tomar,6,2
Season 2,Gangadhari Mallesh,10,2
Season 2,Jasvir Singh,13,2
Season 2,Surender Nada,14,2
Season 2,Prashant Chavan,11,2
Season 2,Rakesh Singh Kumar,13,2
Season 2,Somvir Shekhar,14,2
Season 2,Sunil Jaipal,10,2
Season 2,Vijin Thangadurai,7,2
Season 2,Fazel Atrachali,5,2
Season 2,Dadaso Balaso Awad,7,2
Season 2,Hadi Oshtorak,4,1
Season 2,Amit Hooda,12,1
Season 2,G.S. Manikandan,13,1
Season 2,Vijender Singh,7,1
Season 2,Deepak Dhull,8,1
Season 2,Deepak Kumar,4,1
Season 2,Harvinder Singh,4,1
Season 2,C. Arun,8,1
Season 2,Ashish Kumar,5,1
Season 2,Sandeep Malik,1,1
Season 2,Pradeep Kumar,6,1
Season 2,Girish Maruti Ernak,13,1
Season 2,Samarjeet Singh,5,1
Season 2,Prashanth Kumar Rai,15,1
Season 2,Manjeet Chhillar,16,1
Season 2,Dharmaraj Cheralathan,15,1
Season 2,Seong Ryeol Kim,4,1
Season 2,Amit Singh Chhillar,6,1
Season 2,Anup Kumar,14,1
Season 2,Shrikant Tewthia,9,1
Season 1,Kalimuthu Balamahendran,14,6
Season 1,Sandeep Narwal,16,6
Season 1,Mohit Chhillar,16,5
Season 1,Dharmaraj Cheralathan,16,5
Season 1,Sunil Jaipal,13,4
Season 1,Surender Nada,15,4
Season 1,Prashant Chavan,15,4
Season 1,D. Suresh Kumar,12,4
Season 1,Parmod Narwal,16,3
Season 1,D. Gopu,15,3
Season 1,Nilesh Shinde,14,3
Season 1,Wasim Sajjad,15,3
Season 1,Amit Singh Chhillar,14,3
Season 1,Manoj Kumar,14,3
Season 1,Jitesh Joshi,14,2
Season 1,Jasmer Singh Gulia,14,2
Season 1,Anup Kumar,16,2
Season 1,Nitin Madane,12,2
Season 1,Wazir Singh,12,2
Season 1,Sachin Khambe,14,2
Season 1,Surjeet Narwal,14,2
Season 1,Ran Singh,10,2
Season 1,Bajirao Hodage,6,2
Season 1,Sachin Shingade,10,1
Season 1,Vijendar Singh,8,1
Season 1,Girish Maruti Ernak,12,1
Season 1,Samarjeet Singh,12,1
Season 1,Vikas Tomar,8,1
Season 1,Vishal Mane,16,1
Season 1,Shrikant Tewthia,14,1
Season 1,Shyam Kumar Sah,13,1
Season 1,Maninder Singh,16,1
Season 1,Parveen Kumar,8,1
Season 1,Rahul Chaudhari,14,1
Season 1,Rajaguru Subramanian,14,1
Season 1,Rajesh Mondal,15,1
Season 1,Rajesh Narwal,16,1
Season 1,Ram Kumar Sah,9,1
Season 1,Rohit Rana,15,1
Season 1,Rupesh Tomar,5,1
Season 1,Dadaso Balaso Awad,5,1
Season 1,Gurpreet Singh,16,1
Season 1,Gurvinder Singh,7,1
Season 1,Farhad Kamal Gharibi,2,1
Season 1,Tae Deok Eom,9,1
Season 1,Jasvir Singh,15,1
Season 1,Kashiling Adake,14,1
Season 1,Kuldeep Singh,3,1
Season 1,Navneet Gautam,14,1
