Season,PlayerName,MatchesPlayed,Tackle points
Season 3,Shrikant Tewthia,13,13
Season 3,Surender Nada,7,13
Season 3,Rahul Chaudhari,13,12
Season 3,Vikas Kale,9,12
Season 3,Amit Hooda,4,11
Season 3,Jang Kun Lee,15,11
Season 3,Deepak Kumar Rathee,14,11
Season 3,Gangadhari Mallesh,10,9
Season 3,Rishank Devadiga,16,9
Season 3,Ravi Kumar,12,9
Season 3,Preetam Chhillar,11,9
Season 3,Mahipal Narwal,4,8
Season 3,Pawan Kumar Sehrawat,13,8
Season 3,Rohit Kumar,12,7
Season 3,Mahendra Ganesh Rajput,8,7
Season 3,Deepak Niwas Hooda,12,7
Season 3,Rajaguru Subramanian,7,6
Season 3,Samarjeet Singh,5,6
Season 3,Sachin Shingade,2,6
Season 3,Amit Om Prakash Rathi,8,6
Season 3,Pardeep Narwal,16,5
Season 3,Nitin More,10,5
Season 3,Shyam Kumar Sah,7,5
Season 3,Amit Singh Chhillar,5,5
Season 3,Manpreet Singh,13,5
Season 3,Umesh Mhatre,6,5
Season 3,Jagdeesha K.K.,7,5
Season 3,Anil Shriram Nimbolkar,6,4
Season 3,Nitin Tomar,10,4
Season 3,Ajay Thakur,14,4
Season 3,Deepak Kumar,3,4
Season 3,Rakesh Singh Kumar,8,3
Season 3,Anup Kumar,13,3
Season 3,Navneet Gautam,7,3
Season 3,Kashiling Adake,11,3
Season 3,Kuldeep Singh,1,3
Season 3,Sukesh Hegde,13,3
Season 3,Surjeet Narwal,12,3
Season 3,Prashant Chavan,6,3
Season 3,Sandeep,3,3
Season 3,Sushil Vijay Bhosle,2,2
Season 3,Gnanasekaran M,8,2
Season 3,Rohit Baliyan,11,2
Season 3,Darshan Kadian,2,2
Season 3,Parmod Narwal,4,2
Season 3,Seong Ryeol Kim,8,2
Season 3,Gurvinder Singh,5,2
Season 3,Vijin Thangadurai,4,2
Season 3,Deepak Narwal,9,2
Season 3,Yogesh Hooda,6,2
Season 3,Surender Singh,12,1
Season 3,T. Prasad,3,1
Season 3,G.S. Manikandan,7,1
Season 3,Mohammad Maghshoudulu,10,1
Season 3,Rohit Kumar Prajapat,3,1
Season 3,Deepak Dhull,1,1
Season 3,Bhupender Singh,11,1
Season 3,Mahesh Goud,13,1
Season 3,D. Gopu,2,1
Season 3,Rajesh Mondal,9,1
Season 3,Raju Lal Choudhary,1,1
Season 3,Nirbhay Narwal,2,1
Season 3,Hardeep Duhan,1,1
Season 3,Selvamani K,8,1
Season 3,Vineet Sharma,4,1
Season 3,Sanju,4,1
Season 3,Virender Wazir Singh,4,1
Season 3,Ravinandan G.M.,1,1
Season 3,Navjot Singh,1,1
Season 2,Ravinder Pahal,14,60
Season 2,Sandeep Kandola,16,59
Season 2,Dharmaraj Cheralathan,15,42
Season 2,Mohit Chhillar,14,42
Season 2,Surender Nada,14,41
Season 2,Manjeet Chhillar,16,40
Season 2,Jeeva Kumar,13,38
Season 2,Sandeep Narwal,16,37
Season 2,Ravi Kumar,13,37
Season 2,Deepak Niwas Hooda,15,36
Season 2,Somvir Shekhar,14,34
Season 2,Kuldeep Singh,14,34
Season 2,Ran Singh,14,31
Season 2,D. Suresh Kumar,16,30
Season 2,Joginder Singh Narwal,14,30
Season 2,Girish Maruti Ernak,13,27
Season 2,Nilesh Shinde,12,27
Season 2,Vishal Mane,14,26
Season 2,Sachin Khambe,8,24
Season 2,Sunil,9,22
Season 2,Amit Hooda,12,21
Season 2,Rakesh Singh Kumar,13,19
Season 2,Rajesh Narwal,14,18
Season 2,Rajaguru Subramanian,12,17
Season 2,Manoj Kumar,14,17
Season 2,Rohit Rana,10,16
Season 2,Rishank Devadiga,13,14
Season 2,Shyam Kumar Sah,7,13
Season 2,Bajirao Hodage,7,13
Season 2,Vijin Thangadurai,7,13
Season 2,Manoj Dhull,7,13
Season 2,Dadaso Balaso Awad,7,12
Season 2,Amit Singh Chhillar,6,12
Season 2,Prashant Chavan,11,11
Season 2,Fazel Atrachali,5,11
Season 2,C. Arun,8,11
Season 2,Deepak Dhull,8,11
Season 2,G.S. Manikandan,13,10
Season 2,Vijender Singh,7,10
Season 2,Jasvir Singh,13,10
Season 2,Rahul Chaudhari,14,9
Season 2,D. Gopu,7,9
Season 2,Shrikant Tewthia,9,9
Season 2,Vikas Kale,8,9
Season 2,Meraj Sheykh,15,9
Season 2,Harvinder Singh,4,8
Season 2,Preetam Chhillar,12,8
Season 2,Gangadhari Mallesh,10,8
Season 2,Bhupender Singh,11,8
Season 2,Anup Kumar,14,7
Season 2,Hadi Oshtorak,4,7
Season 2,Mahipal Narwal,9,6
Season 2,Rupesh Tomar,6,6
Season 2,Sunil Jaipal,10,6
Season 2,Parveen M. Jangra,6,5
Season 2,Kalimuthu Balamahendran,6,5
Season 2,Tae Deok Eom,8,5
Season 2,Gurvinder Singh,16,5
Season 2,Varinder Singh,8,5
Season 2,Deepak Kumar,4,5
Season 2,Deepak Narwal,16,4
Season 2,Rajeev Kumar,3,4
Season 2,Isac Antony,7,4
Season 2,T. Prasad,6,4
Season 2,Seong Ryeol Kim,4,4
Season 2,Sagar Khatale,4,4
Season 2,Prashanth Kumar Rai,15,4
Season 2,Kashiling Adake,14,3
Season 2,Jitesh Joshi,5,3
Season 2,Rakesh Kumar,4,3
Season 2,Ravi Dalal,11,3
Season 2,Surender Singh,2,3
Season 2,Rohit Kumar Choudary,14,3
Season 2,Ashish Kumar,5,3
Season 2,Sandeep Malik,1,2
Season 2,Aman Kumar,4,2
Season 2,K. Prapanjan,4,2
Season 2,Anoop E.V.,2,2
Season 2,Amit Kumar Tomar,9,2
Season 2,Vineet Sharma,8,2
Season 2,Nitin More,3,2
Season 2,Jang Kun Lee,14,2
Season 2,Jasmer Singh Gulia,3,2
Season 2,Wazir Singh,11,2
Season 2,Sukesh Hegde,13,2
Season 2,Pradeep Kumar,6,2
Season 2,Sachin Shingade,4,2
Season 2,Samarjeet Singh,5,2
Season 2,Mahendra Ganesh Rajput,12,1
Season 2,Suresu Kumar,1,1
Season 2,Kedar Lal,9,1
Season 2,Shabeer Bappu,10,1
Season 2,Jeeva Gopal,2,1
Season 2,Gurpreet Singh,2,1
Season 2,Ajay Thakur,13,1
Season 2,Chandran Ranjit,1,1
Season 2,Pravin Niwale,8,1
Season 2,Rajesh Mondal,15,1
Season 2,Navneet Gautam,7,1
Season 2,Jishnu,3,1
Season 2,Hyunil Park,2,1
Season 2,Amit Kumar,1,1
Season 2,Ravit Kumar,3,1
Season 2,Sanjay Kumar,7,1
Season 2,Yogesh Hooda,4,1
Season 2,Ashish Chhokar,6,1
Season 2,Adinath Sakharam Gavali,1,1
Season 1,Manjeet Chhillar,16,51
Season 1,Surender Nada,15,51
Season 1,Dharmaraj Cheralathan,16,39
Season 1,Jasmer Singh Gulia,14,38
Season 1,Rohit Rana,15,38
Season 1,Mohit Chhillar,16,35
Season 1,Prashant Chavan,15,32
Season 1,Ravinder Pahal,9,29
Season 1,Amit Singh Chhillar,14,29
Season 1,Nilesh Shinde,14,28
Season 1,D. Suresh Kumar,12,28
Season 1,Wasim Sajjad,15,27
Season 1,Sandeep Narwal,16,27
Season 1,Rajesh Narwal,16,26
Season 1,Gurpreet Singh,16,25
Season 1,Ran Singh,10,25
Season 1,Girish Maruti Ernak,12,23
Season 1,D. Gopu,15,23
Season 1,Parmod Narwal,16,23
Season 1,Sachin Khambe,14,22
Season 1,Vishal Mane,16,20
Season 1,Kalimuthu Balamahendran,14,20
Season 1,Manoj Kumar,14,20
Season 1,Sachin Shingade,10,20
Season 1,Vijendar Singh,8,20
Season 1,Rajaguru Subramanian,14,19
Season 1,Shyam Kumar Sah,13,18
Season 1,Navneet Gautam,14,17
Season 1,Sunil Jaipal,13,17
Season 1,Jeeva Kumar,9,16
Season 1,Ram Kumar Sah,9,15
Season 1,Anup Kumar,16,14
Season 1,Jitesh Joshi,14,13
Season 1,Rishank Devadiga,16,13
Season 1,Nitin More,9,12
Season 1,Rakesh Kumar,12,11
Season 1,Samarjeet Singh,12,11
Season 1,Bajirao Hodage,6,11
Season 1,Sagar Khatale,8,10
Season 1,Rahul Chaudhari,14,10
Season 1,Shrikant Tewthia,14,9
Season 1,Kashiling Adake,14,9
Season 1,Mahesh Goud,13,8
Season 1,Swapnil Dilip Shinde,8,8
Season 1,Preetam Chhillar,11,7
Season 1,Mahipal Narwal,5,7
Season 1,Jasvir Singh,15,7
Season 1,Surjeet Narwal,14,7
Season 1,Wazir Singh,12,7
Season 1,Maninder Singh,16,7
Season 1,Jeeva Gopal,11,6
Season 1,Nitin Madane,12,6
Season 1,Kuldeep Singh,3,5
Season 1,Dadaso Balaso Awad,5,5
Season 1,Seong Ryeol Kim,3,5
Season 1,Vikas Tomar,8,5
Season 1,Ajay Thakur,15,5
Season 1,Rajesh Mondal,15,5
Season 1,Rupesh Tomar,5,4
Season 1,Sukesh Hegde,14,4
Season 1,Gurvinder Singh,7,4
Season 1,Gangadhari Mallesh,10,3
Season 1,Gurchet Singh,4,3
Season 1,Rakesh Singh Kumar,9,3
Season 1,Parveen Kumar,8,3
Season 1,Punit Kumar Teotia,4,2
Season 1,Raju Lal Choudhary,5,2
Season 1,Sunil Hanumanthappa,5,2
Season 1,Gokul Shitole,3,2
Season 1,Deepak Niwas Hooda,14,2
Season 1,Tae Deok Eom,9,2
Season 1,Ehsan Zamani Fard,8,2
Season 1,Farhad Kamal Gharibi,2,2
Season 1,Simon Kibura,4,2
Season 1,Jang Kun Lee,11,2
Season 1,Deepak Kumar Dahiya,7,2
Season 1,Mangesh Bhagat,8,1
Season 1,Takamitsu Kono,1,1
Season 1,Atif Waheed,3,1
Season 1,Wajid Ali,4,1
Season 1,Sinotharan Kanesharajah,1,1
Season 1,Pawan Kumar Kadian,10,1
Season 1,Sunil Subhash Lande,4,1
Season 1,Pravin Niwale,7,1
Season 1,Shabeer Bappu,10,1
